Genre,Name,Year,Rating,Rating amount
action,Ruthless,2023,4.9,1.1K
action,Stara szkoła,2023,5.5,8.8K
action,The Convert,2023,7.6,158
action,Die Hart,2023,5.2,3.7K
action,American Star,2024,5.4,1.5K
action,Aggro Dr1ft,2023,5.5,327
action,Piotruś Pan i Wendy,2023,4.4,28K
action,Balerina,2023,6.2,12K
action,Droga bez odwrotu,2023,5.8,3.5K
action,4 Kings 2,2023,6.9,614
action,Maszyna,2023,5.8,16K
action,Akelli,2023,6.1,6K
action,Spy × Family Code: White,2023,7.4,2.8K
action,The Flood,2023,3.2,1.8K
action,Diabelska jazda,2023,5.5,9.6K
action,The Tiger's Apprentice,2024,5.7,1.5K
action,Kimetsu no Yaiba: Katanakaji no Sato-hen,2023,7.5,11K
action,Hidden Strike,2023,5.3,19K
action,Zagadka ognia,2023,6.6,981
action,Wstrząsy,2023,6.7,5.7K
action,Americana,2023,7.1,121
action,Bade Miyan Chote Miyan,2024,5.0,35K
action,3 Days in Malay,2023,2.6,288
action,Bitwa o Atlantyk,2023,6.8,1.1K
action,Zabójca,2023,3.2,1.5K
action,Kill,2023,6.9,155
action,Outlaw Johnny Black,2023,5.5,1.3K
action,Zhou chu chu san hai,2023,7.3,5.1K
action,Deep Fear,2023,4.1,14K
action,Mafia Mamma,2023,5.4,11K
action,Anaconda,2024,4.9,156
action,13 Bom di Jakarta,2023,6.6,1.3K
action,Serce łowcy,2024,4.6,1.5K
action,60 minut,2024,5.7,4K
action,Azrael,2024,6.7,78
action,Spider-Man: Lotus,2023,3.2,2.7K
action,MR-9: Do or Die,2023,4.0,904
action,Morskie diabły,2023,6.3,489
action,Mali agenci: Armagedon,2023,4.3,3.4K
action,Oegye+in 2bu,2024,6.6,953
action,Beomjoidosi 3,2023,6.6,5.2K
action,Miłe towarzystwo,2023,6.6,10K
action,Left Behind: Rise of the Antichrist,2023,4.4,2.1K
action,Air Force One Down,2024,4.5,1.5K
action,Yuva,2024,5.8,598
action,Krew i złoto,2023,6.5,17K
action,The Channel,2023,5.6,2K
action,One Ranger,2023,5.0,3.6K
action,Supercell,2023,4.4,2.9K
action,Pathaan,2023,5.8,157K
action,Złodziejki,2023,5.7,6.5K
action,Ryan's World the Movie: Titan Universe Adventure,2024,5.0,11
action,Krishnamma,2024,6.5,210
action,Jak łyse konie,2023,6.3,5.5K
action,Doskonały rewanż,2023,5.5,3.4K
action,Małpi król,2023,5.8,6.4K
action,Crakk: Jeetega..,2024,4.9,5.9K
action,The Engineer,2023,4.2,1.8K
action,Zawód gangster 6: Zemsta,2023,5.9,1.2K
action,Resident Evil: Wyspa śmierci,2023,5.7,8.9K
action,Farang,2023,6.3,1.7K
action,Sheriff: Narko Integriti,2024,7.7,451
action,The Best Man,2023,3.8,1.2K
action,Mob Land,2023,5.3,2.9K
action,The Collective,2023,3.2,1.8K
action,Warhorse One,2023,5.4,2.3K
action,Wojna światów: wyginięcie,2024,3.6,7
action,Squealer,2023,3.4,658
action,The Locksmith,2023,4.9,2.4K
action,Operacja Napoleon,2023,6.0,2.8K
action,Stockholm Bloodbath,2023,4.7,855
action,Dead Shot,2023,5.5,2.6K
action,Wędrująca Ziemia 2,2023,6.8,14K
action,Kill Boksoon,2023,6.6,13K
action,Kannur Squad,2023,7.6,8.5K
action,Ambush,2023,4.0,1.6K
action,Jailer,2023,7.1,35K
action,Zły panicz,2023,6.8,4.3K
action,Justice League: Warworld,2023,5.3,4.3K
action,Burakku Kurôbâ: Mahôtei no Ken,2023,7.4,7.8K
action,Guntur Kaaram,2024,5.3,20K
action,Szmuglerzy,2023,6.2,1.3K
action,The Last Front,2024,5.6,231
action,"I, The Executioner",2024,N/A,N/A
action,Khufiya,2023,6.1,7K
action,"Zom 100: 100 rzeczy do zrobienia, zanim zostanę zombie",2023,5.5,6.4K
action,Til Death Do Us Part,2023,3.8,5.8K
action,Razakar: The Silent Genocide of Hyderabad,2024,8.2,4.7K
action,Sabari,2024,8.4,2K
action,Kubi,2023,6.8,409
action,Siren,2024,6.4,2.3K
action,Confidential Informant,2023,3.9,2.7K
action,Ett sista race,2023,5.2,1.1K
action,Wakacyjni przyjaciele 2,2023,5.3,8.4K
action,Sniper: G.R.I.T,2023,5.1,947
action,Klub zabójców,2023,4.7,2.9K
action,Shin Kamen Raidâ,2023,6.1,2.9K
action,Tajniak,2023,5.0,3.2K
action,Rumble Through the Dark,2023,5.7,6.6K
action,Skanda: The Attacker,2023,4.2,2.7K
action,Gumraah,2023,6.5,6K
action,Operation Valentine,2024,5.3,911
action,Vampiras: The Brides,2024,6.5,34
action,Bawaal,2023,6.6,16K
action,King of Killers,2023,4.3,1.4K
action,Palido: W imię zemsty,2023,3.3,377
action,Tiger 3,2023,5.7,53K
action,Chupa,2023,5.5,7.3K
action,Miraculous: Biedronka i Czarny Kot,2023,6.1,6.6K
action,Sayen: Łowczyni,2024,4.2,149
action,Jackdaw,2023,5.5,238
action,The Island,2023,4.7,2K
action,Alias,2023,6.6,13K
action,Roadkill,2024,3.5,533
action,Por Thozhil,2023,8.0,10K
action,Jigarthanda DoubleX,2023,8.1,9.3K
action,Blind Waters,2023,3.5,245
action,The Silent Service,2023,6.4,235
action,Eagle,2024,6.3,4.3K
action,Sayen,2023,4.6,1.2K
action,Joram,2023,6.6,2.3K
action,Gekijoban Bishojo Senshi Sailor Moon Cosmos,2023,7.5,316
action,Warning 2,2024,7.3,723
action,The Experts,2024,7.8,35
action,Sakra: Legenda wojownika,2023,5.7,2.2K
action,2018,2023,8.3,12K
action,Mission Raniganj: The Great Bharat Rescue,2023,7.2,18K
action,Dark Asset,2023,4.0,464
action,Mroczne dusze,2023,4.8,521
action,The Dirty South,2023,5.4,1.1K
action,Kidô Senshi Gundam Seed Freedom,2024,7.1,479
action,Control,2023,3.6,199
action,Bloody Daddy,2023,6.6,22K
action,Showdown at the Grand,2023,4.7,525
action,Detektyw Knight: Dzień Niepodległości,2023,3.4,1.5K
action,Sheroes,2023,3.3,1.5K
action,Biônicos,2024,N/A,N/A
action,Mighty Morphin Power Rangers: Once & Always,2023,5.7,6.4K
action,The Curse of the Clown Motel,2023,2.8,194
action,The Three Musketeers,2023,1.8,914
action,Wake Up,2023,6.2,107
action,Johnny & Clyde,2023,2.7,1.8K
action,Paradox Effect,2023,,N/A
action,Captain Miller,2024,6.5,7K
action,Ganapath,2023,3.0,9.9K
action,Diabolik chi sei?,2023,5.7,344
action,Dange,2024,5.5,544
action,Jung_E,2023,5.5,11K
action,Kingdom: Unmei no Hono,2023,6.7,1.2K
action,Red vs,2024,6.4,52
action,Medal,2023,6.5,1K
action,Sapta Sagaradaache Ello: Side B,2023,8.0,3.6K
action,Dzień Matki,2023,5.3,2.6K
action,Shehzada,2023,4.5,31K
action,Jin shou zhi,2023,6.3,1.2K
action,6 Hours Away,2024,3.8,136
action,Bunt,2023,6.6,897
action,Legion superbohaterów,2023,5.8,4.6K
action,Slyth: The Hunt Saga,2023,4.3,111
action,Bi-gong-sik-jak-jeon,2023,6.5,902
action,Conann,2023,5.9,488
action,Black Noise,2023,3.3,2K
action,Zabijasz mnie,2023,4.9,4.6K
action,Gadar 2,2023,5.1,22K
action,The Actor,2024,9.0,447
action,Road Wars: Max Fury,2024,3.3,41
action,Wyznawca 2,2023,5.6,1.7K
action,Das Ka Dhamki,2023,6.1,1.9K
action,Meitantei Konan Kurogane no Sabumarin,2023,7.2,2K
action,Antony,2023,6.6,1.1K
action,Night Train,2023,3.7,1.2K
action,One Percenter,2023,5.9,306
action,Malayalee from India,2024,6.2,4K
action,Maamannan,2023,6.7,5.6K
