Rank,Name,Year,Rating,Rating amount
129,Za kilka dolarów więcej,1965,8.2 ,275K
130,Batman - Początek,2005,8.2 ,1.6M
131,Wilk z Wall Street,2013,8.2 ,1.6M
132,"Pół żartem, pół serio",1959,8.2 ,284K
133,Green Book,2018,8.2 ,574K
134,Brzdąc,1921,8.2 ,135K
135,Ojciec,2020,8.2 ,194K
136,Wyrok w Norymberdze,1961,8.3 ,86K
137,Truman Show,1998,8.2 ,1.2M
138,Wszystko o Ewie,1950,8.2 ,139K
139,Top Gun: Maverick,2022,8.2 ,700K
140,Wyspa tajemnic,2010,8.2 ,1.5M
141,Aż poleje się krew,2007,8.2 ,642K
142,Kasyno,1995,8.2 ,565K
143,Park Jurajski,1993,8.2 ,1.1M
144,Ran,1985,8.2 ,136K
145,Szósty zmysł,1999,8.2 ,1.1M
146,Labirynt fauna,2006,8.2 ,704K
147,Bez przebaczenia,1992,8.2 ,437K
148,To nie jest kraj dla starych ludzi,2007,8.2 ,1.1M
149,Piękny umysł,2001,8.2 ,988K
150,Coś,1982,8.2 ,467K
151,Kill Bill,2003,8.2 ,1.2M
152,Skarb Sierra Madre,1948,8.2 ,133K
153,Straż przyboczna,1961,8.2 ,132K
154,Monty Python i Święty Graal,1975,8.2 ,571K
155,Wielka ucieczka,1963,8.2 ,259K
156,Gdzie jest Nemo?,2003,8.2 ,1.1M
157,Labirynt,2013,8.2 ,811K
158,Rashomon,1950,8.2 ,181K
159,Ruchomy zamek Hauru,2004,8.2 ,451K
160,Człowiek słoń,1980,8.2 ,259K
161,Chinatown,1974,8.1 ,350K
162,M jak morderstwo,1954,8.2 ,189K
163,Przeminęło z wiatrem,1939,8.2 ,335K
164,V jak vendetta,2005,8.2 ,1.2M
165,Porachunki,1998,8.1 ,617K
166,Sekret jej oczu,2009,8.2 ,223K
167,W głowie się nie mieści,2015,8.1 ,787K
168,Wściekły byk,1980,8.1 ,381K
169,"Trzy billboardy za Ebbing, Missouri",2017,8.1 ,556K
170,Trainspotting,1996,8.1 ,726K
171,Most na rzece Kwai,1957,8.1 ,234K
172,Klaus,2019,8.2 ,190K
173,Fargo,1996,8.1 ,728K
174,Spider-Man: Bez drogi do domu,2021,8.2 ,881K
175,"Złap mnie, jeśli potrafisz",2002,8.1 ,1.1M
176,Wojownik,2011,8.1 ,498K
177,Gran Torino,2008,8.1 ,816K
178,Mój sąsiad Totoro,1988,8.1 ,381K
179,Za wszelką cenę,2004,8.1 ,723K
180,Harry Potter i Insygnia Śmierci: Część II,2011,8.1 ,950K
181,Dzieci niebios,1997,8.2 ,81K
182,Zniewolony,2013,8.1 ,742K
183,Łowca androidów,1982,8.1 ,824K
184,Przed wschodem słońca,1995,8.1 ,340K
185,Barry Lyndon,1975,8.1 ,183K
186,Ben Hur,1959,8.1 ,254K
